City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
sharjah,25.17,25.17,102.2,44.0,0.0,3.36,AE,1594844449.0
hovd,45.25,45.25,55.94,70.0,100.0,2.21,MN,1594844542.0
kizner,56.31,56.31,72.84,75.0,24.0,7.2,RU,1594844542.0
taltal,-24.26,-24.26,62.82,55.0,22.0,4.18,CL,1594844542.0
mandal,25.52,25.52,83.79,68.0,25.0,10.0,IN,1594844542.0
aldan,57.96,57.96,58.84,87.0,2.0,1.21,RU,1594844542.0
tecoanapa,9.96,9.96,88.86,56.0,82.0,10.76,MX,1594844542.0
andijon,40.57,40.57,71.6,56.0,75.0,4.47,UZ,1594844542.0
aksarka,67.03,67.03,50.85,85.0,77.0,8.55,RU,1594844542.0
kiama,-38.28,-38.28,53.01,67.0,100.0,5.99,AU,1594844543.0
tvoroyri,61.62,61.62,50.0,100.0,90.0,9.17,FO,1594844543.0
maningrida,-10.05,-10.05,64.17,76.0,37.0,9.73,AU,1594844354.0
kitahiroshima,42.99,42.99,64.0,83.0,84.0,1.01,JP,1594844543.0
necochea,-51.4,-51.4,51.01,64.0,0.0,5.01,AR,1594844443.0
college,70.81,70.81,69.01,63.0,75.0,5.82,US,1594844407.0
beira,-19.42,-19.42,69.8,68.0,75.0,18.34,MZ,1594844405.0
kalmunai,7.31,7.31,79.93,82.0,100.0,11.14,LK,1594844544.0
umbertide,43.3,43.3,68.0,79.0,98.0,1.01,IT,1594844544.0
pangnirtung,66.58,66.58,60.8,59.0,75.0,20.8,CA,1594844544.0
iberia,-11.98,-11.98,96.8,88.0,40.0,5.82,US,1594844544.0
xining,35.61,35.61,58.73,81.0,100.0,2.95,CN,1594844544.0
joensuu,62.2,62.2,59.0,72.0,100.0,3.36,FI,1594844544.0
alice springs,-24.76,-24.76,33.8,64.0,0.0,4.7,AU,1594844545.0
oranjestad,16.59,16.59,87.8,62.0,20.0,18.34,AW,1594844545.0
saint-pierre,43.38,43.38,66.2,77.0,47.0,6.93,RE,1594844545.0
dickinson,46.05,46.05,97.0,50.0,40.0,12.75,US,1594844545.0
grand-santi,2.84,2.84,86.13,65.0,35.0,2.37,GF,1594844436.0
nouadhibou,23.59,23.59,71.6,83.0,0.0,14.99,MR,1594844545.0
kota,24.61,24.61,87.87,66.0,31.0,3.11,IN,1594844545.0
boa vista,3.7,3.7,87.8,55.0,75.0,5.82,BR,1594844414.0
japura,-1.09,-1.09,73.71,92.0,43.0,2.15,ID,1594844463.0
vostok,50.64,50.64,56.21,99.0,81.0,3.42,RU,1594844546.0
bida,9.03,9.03,75.27,90.0,71.0,3.78,NG,1594844546.0
sawai madhopur,26.16,26.16,88.56,62.0,8.0,5.21,IN,1594844546.0
luganville,-15.31,-15.31,68.0,100.0,20.0,2.3,VU,1594844546.0
biltine,15.67,15.67,77.47,75.0,100.0,14.45,TD,1594844546.0
namatanai,2.84,2.84,78.39,80.0,18.0,2.57,PG,1594844547.0
vila velha,-26.13,-26.13,69.8,88.0,90.0,6.93,BR,1594844547.0
novikovo,47.59,47.59,56.1,78.0,94.0,11.97,RU,1594844547.0
ola,57.41,57.41,56.44,90.0,96.0,2.75,RU,1594844483.0
zhezkazgan,46.21,46.21,79.61,35.0,73.0,16.89,KZ,1594844547.0
kommunisticheskiy,61.43,61.43,68.81,89.0,100.0,4.94,RU,1594844547.0
hasaki,30.49,30.49,63.0,100.0,75.0,8.05,JP,1594844547.0
pando,-34.69,-34.69,53.6,50.0,0.0,6.93,UY,1594844548.0
mahajanga,-14.74,-14.74,73.4,83.0,0.0,6.93,MG,1594844548.0
canakkale,40.08,40.08,71.6,56.0,0.0,3.36,TR,1594844548.0
lavrentiya,72.12,72.12,47.52,85.0,91.0,3.98,RU,1594844324.0
mindelo,15.71,15.71,80.6,74.0,75.0,16.11,CV,1594844548.0
camacha,38.37,38.37,69.8,73.0,75.0,16.11,PT,1594844548.0
hambantota,-3.09,-3.09,81.39,77.0,92.0,14.14,LK,1594844416.0
nanma,35.91,35.91,70.41,77.0,71.0,2.1,CN,1594844549.0
cap malheureux,-13.3,-13.3,70.0,73.0,0.0,8.01,MU,1594844549.0
canete,-37.88,-37.88,56.93,75.0,100.0,2.19,CL,1594844549.0
nortelandia,-13.69,-13.69,94.96,21.0,21.0,4.12,BR,1594844549.0
vila do maio,14.74,14.74,80.6,74.0,75.0,13.87,CV,1594844538.0
payo,15.83,15.83,72.59,95.0,76.0,1.88,ID,1594844549.0
marsaxlokk,35.0,35.0,79.0,74.0,0.0,4.7,MT,1594844549.0
te anau,-43.14,-43.14,28.78,96.0,96.0,0.83,NZ,1594844314.0
zwedru,5.3,5.3,72.63,82.0,100.0,4.34,LR,1594844550.0
alcains,39.94,39.94,89.01,25.0,0.0,3.0,PT,1594844550.0
merauke,-10.09,-10.09,77.07,87.0,73.0,15.35,ID,1594844550.0
dunedin,-50.97,-50.97,39.99,85.0,39.0,3.0,NZ,1594844412.0
grao mogol,-16.25,-16.25,71.8,48.0,36.0,5.12,BR,1594844550.0
seoul,37.97,37.97,68.0,82.0,75.0,2.26,KR,1594844429.0
the valley,24.13,24.13,87.8,62.0,40.0,12.75,AI,1594844550.0
atar,22.81,22.81,99.61,17.0,0.0,10.71,MR,1594844535.0
valdivia,-39.74,-39.74,51.8,100.0,90.0,3.36,CL,1594844551.0
gaurnadi,22.89,22.89,79.99,89.0,91.0,5.61,BD,1594844551.0
naples,25.49,25.49,75.2,64.0,0.0,5.82,IT,1594844551.0
san carlos,-34.47,-34.47,83.57,81.0,27.0,4.14,VE,1594844551.0
zverinogolovskoye,54.45,54.45,70.74,70.0,0.0,6.78,RU,1594844551.0
chegdomyn,50.85,50.85,65.16,92.0,28.0,1.3,RU,1594844551.0
severo-kurilsk,40.38,40.38,50.59,92.0,96.0,9.93,RU,1594844308.0
zhuhai,17.89,17.89,86.0,89.0,20.0,11.41,CN,1594844552.0
san ignacio,-15.11,-15.11,93.2,49.0,20.0,11.41,BZ,1594844552.0
jega,11.55,11.55,80.87,73.0,50.0,8.59,NG,1594844552.0
moyale,3.01,3.01,70.83,60.0,98.0,10.47,KE,1594844552.0
porto novo,14.34,14.34,77.0,88.0,20.0,11.41,BJ,1594844552.0
kovdor,67.65,67.65,53.37,78.0,0.0,5.1,RU,1594844552.0
pajapita,14.7,14.7,91.4,49.0,20.0,6.93,GT,1594844552.0
saint-georges,4.87,4.87,86.0,70.0,20.0,17.22,GD,1594844553.0
kenai,61.65,61.65,68.0,67.0,1.0,6.93,US,1594844343.0
muyezerskiy,64.43,64.43,51.64,92.0,95.0,4.61,RU,1594844553.0
manhuacu,-20.17,-20.17,65.91,87.0,85.0,2.46,BR,1594844553.0
dinar,37.85,37.85,78.8,47.0,20.0,8.05,TR,1594844553.0
victor harbor,-37.32,-37.32,42.01,91.0,0.0,5.3,AU,1594844553.0
newcastle,-33.34,-33.34,53.6,62.0,75.0,13.87,AU,1594844355.0
la rioja,-29.48,-29.48,68.0,56.0,0.0,3.36,ES,1594844554.0
byron bay,-29.21,-29.21,51.01,71.0,0.0,11.41,AU,1594844362.0
nakhon phanom,17.47,17.47,77.27,80.0,60.0,2.13,TH,1594844554.0
geraldton,-34.25,-34.25,53.6,87.0,75.0,11.41,AU,1594844554.0
adre,12.98,12.98,76.96,69.0,91.0,7.67,TD,1594844554.0
farsund,58.06,58.06,57.0,84.0,0.0,14.47,NO,1594844554.0
palmeira,-25.43,-25.43,60.66,68.0,0.0,4.38,BR,1594844554.0
olivenza,38.52,38.52,98.6,23.0,0.0,5.35,ES,1594844555.0
burla,53.64,53.64,79.95,82.0,9.0,4.18,IN,1594844555.0
san diego de los banos,22.66,22.66,89.76,61.0,53.0,5.77,CU,1594844555.0
havelock,34.12,34.12,89.6,46.0,40.0,10.29,US,1594844555.0
portland,-45.72,-45.72,84.99,36.0,20.0,6.93,US,1594843864.0
kokopo,-5.17,-5.17,76.3,84.0,2.0,4.12,PG,1594844556.0
vicksburg,32.63,32.63,91.4,59.0,20.0,4.7,US,1594844556.0
kavaratti,11.34,11.34,83.05,77.0,100.0,19.6,IN,1594844556.0
poum,-19.23,-19.23,70.03,61.0,0.0,14.07,NC,1594844556.0
luderitz,-29.47,-29.47,64.4,36.0,0.0,1.12,NA,1594844268.0
sheltozero,61.42,61.42,59.11,79.0,75.0,14.65,RU,1594844556.0
naustdal,61.65,61.65,59.0,87.0,75.0,2.24,NO,1594844556.0
turukhansk,64.1,64.1,45.34,82.0,65.0,6.71,RU,1594844425.0
kulhudhuffushi,6.93,6.93,84.15,77.0,100.0,13.11,MV,1594844557.0
rumuruti,0.44,0.44,57.78,85.0,100.0,6.87,KE,1594844557.0
berga,42.2,42.2,59.0,72.0,40.0,6.93,NO,1594844528.0
kieta,-4.88,-4.88,78.06,76.0,41.0,3.76,PG,1594844557.0
melbourne,-37.98,-37.98,86.0,83.0,1.0,6.93,US,1594844377.0
chumikan,55.62,55.62,62.26,95.0,99.0,5.75,RU,1594844557.0
huarmey,-12.95,-12.95,69.12,65.0,4.0,11.1,PE,1594844557.0
molteno,-31.59,-31.59,32.77,76.0,0.0,4.21,ZA,1594844558.0
kangaba,11.72,11.72,78.28,81.0,1.0,5.95,ML,1594844558.0
bud,63.0,63.0,86.0,51.0,75.0,11.41,US,1594844558.0
si sa ket,15.03,15.03,86.0,76.0,61.0,4.79,TH,1594844558.0
itaqui,-29.46,-29.46,56.89,67.0,23.0,10.13,BR,1594844558.0
korsakov,46.48,46.48,55.4,93.0,75.0,4.47,RU,1594844558.0
padang,-9.54,-9.54,78.33,73.0,1.0,4.09,ID,1594844364.0
pochutla,12.46,12.46,89.6,62.0,90.0,9.17,MX,1594844559.0
north platte,42.71,42.71,78.01,50.0,1.0,4.59,US,1594844383.0
santa isabel do rio negro,-0.76,-0.76,87.62,54.0,79.0,4.36,BR,1594844559.0
oyama,33.69,33.69,69.01,93.0,75.0,6.93,JP,1594844559.0
gushi,31.47,31.47,76.15,63.0,87.0,1.07,CN,1594844559.0
petropavlovsk-kamchatskiy,52.38,52.38,51.8,100.0,90.0,2.24,RU,1594844559.0
iquitos,-1.82,-1.82,87.8,62.0,75.0,3.36,PE,1594844536.0
antofagasta,-24.17,-24.17,59.0,72.0,75.0,16.11,CL,1594844397.0
kargopol,60.61,60.61,53.33,95.0,98.0,10.65,RU,1594844560.0
bismil,37.78,37.78,78.8,64.0,0.0,5.82,TR,1594844560.0
nikolskiy,60.64,60.64,55.54,90.0,100.0,4.99,RU,1594844560.0
sao filipe,5.71,5.71,77.13,83.0,37.0,9.06,CV,1594844560.0
tarrafal,15.5,15.5,80.6,74.0,75.0,13.87,CV,1594844560.0
pimampiro,0.09,0.09,53.6,76.0,75.0,5.82,EC,1594844560.0
salinopolis,3.6,3.6,81.75,79.0,5.0,11.59,BR,1594844561.0
kamaishi,37.26,37.26,60.89,89.0,100.0,5.99,JP,1594844561.0
brae,69.93,69.93,55.4,87.0,100.0,8.05,GB,1594844466.0
laguna,-30.12,-30.12,87.01,39.0,1.0,6.93,US,1594844467.0
aksu,39.91,39.91,74.26,42.0,1.0,0.74,CN,1594844561.0
miri,4.55,4.55,75.2,94.0,40.0,5.82,MY,1594844270.0
yar-sale,78.11,78.11,51.01,85.0,39.0,22.93,RU,1594844557.0
talcahuano,-30.49,-30.49,57.2,67.0,100.0,5.82,CL,1594844562.0
brownsville,26.06,26.06,95.0,47.0,1.0,23.04,US,1594844562.0
solginskiy,60.48,60.48,55.29,89.0,97.0,12.06,RU,1594844562.0
bendigo,-36.25,-36.25,33.01,52.0,0.0,4.36,AU,1594844562.0
baghmara,21.87,21.87,79.97,85.0,59.0,6.8,IN,1594844562.0
rio gallegos,-50.82,-50.82,28.4,100.0,75.0,8.05,AR,1594844314.0
princeton,49.14,49.14,89.6,66.0,20.0,9.17,US,1594844562.0
corpus christi,27.54,27.54,91.4,66.0,20.0,17.22,US,1594844420.0
batemans bay,-38.38,-38.38,39.0,89.0,80.0,1.01,AU,1594844563.0
duzce,40.87,40.87,66.88,80.0,89.0,1.99,TR,1594844563.0
zlocieniec,53.55,53.55,55.99,92.0,100.0,5.48,PL,1594844272.0
weligama,1.51,1.51,78.96,85.0,100.0,5.79,LK,1594844471.0
tommot,57.67,57.67,61.72,86.0,0.0,1.16,RU,1594844563.0
tilichiki,60.67,60.67,49.64,91.0,100.0,1.12,RU,1594844563.0
kholodnyy,61.09,61.09,49.03,74.0,98.0,3.42,RU,1594844564.0
songea,-11.01,-11.01,66.2,55.0,5.0,9.17,TZ,1594844564.0
aykhal,68.64,68.64,64.4,68.0,90.0,6.71,RU,1594844564.0
vikhorevka,55.92,55.92,48.2,87.0,20.0,8.95,RU,1594844438.0
saint-leu,-23.18,-23.18,69.8,77.0,30.0,6.93,RE,1594844564.0
nelson bay,-36.46,-36.46,54.0,62.0,75.0,13.87,AU,1594844306.0
marawi,16.81,16.81,73.99,93.0,100.0,4.0,PH,1594844564.0
kiunga,-6.59,-6.59,74.14,97.0,98.0,1.72,PG,1594844565.0
trofors,65.07,65.07,64.4,52.0,20.0,1.12,NO,1594844565.0
saint anthony,56.02,56.02,81.0,44.0,1.0,4.7,US,1594844343.0
benguela,-11.28,-11.28,67.44,86.0,0.0,4.25,AO,1594844565.0
myitkyina,26.42,26.42,74.77,96.0,100.0,1.88,MM,1594844565.0
dingle,48.88,48.88,75.92,90.0,94.0,4.9,PH,1594844565.0
guangyuan,32.84,32.84,66.0,90.0,100.0,4.09,CN,1594844565.0
udachnyy,66.64,66.64,64.4,68.0,90.0,6.71,RU,1594844402.0
spornoye,63.44,63.44,57.2,76.0,65.0,6.71,RU,1594844566.0
drayton valley,53.14,53.14,63.0,63.0,50.0,17.0,CA,1594844420.0
banda aceh,2.57,2.57,79.59,79.0,59.0,3.06,ID,1594844566.0
mushabani,22.27,22.27,80.01,85.0,57.0,3.18,IN,1594844566.0
safaga,25.51,25.51,88.07,40.0,0.0,5.32,EG,1594844566.0
puerto escondido,9.28,9.28,84.2,74.0,40.0,9.17,MX,1594844468.0
hailey,43.68,43.68,80.01,31.0,5.0,13.87,US,1594844566.0
port hardy,43.63,43.63,60.8,93.0,75.0,5.82,CA,1594844311.0
turochak,51.89,51.89,52.57,88.0,100.0,0.58,RU,1594844567.0
kattivakkam,13.95,13.95,80.6,88.0,75.0,5.82,IN,1594844567.0
saint-dizier,48.75,48.75,66.2,59.0,53.0,3.36,FR,1594844567.0
acapulco,12.92,12.92,86.0,79.0,90.0,4.7,MX,1594844323.0
sawakin,21.52,21.52,86.59,50.0,0.0,8.19,SD,1594844567.0
lubango,-15.42,-15.42,55.22,32.0,0.0,7.49,AO,1594844568.0
port keats,-14.26,-14.26,63.36,36.0,41.0,9.66,AU,1594844568.0
paamiut,59.9,59.9,43.54,84.0,5.0,23.31,GL,1594844314.0
san andres,12.67,12.67,86.0,79.0,90.0,8.05,CO,1594844568.0
fuerte olimpo,-20.95,-20.95,89.92,39.0,1.0,4.03,PY,1594844568.0
vardo,78.7,78.7,50.0,87.0,3.0,4.7,NO,1594844568.0
qeshm,26.47,26.47,91.4,75.0,0.0,11.41,IR,1594844568.0
opuwo,-17.3,-17.3,55.9,33.0,0.0,12.64,NA,1594844568.0
prince rupert,49.34,49.34,55.4,100.0,90.0,12.75,CA,1594844533.0
isoka,-10.17,-10.17,57.09,58.0,0.0,5.55,ZM,1594844569.0
mae sai,20.57,20.57,78.8,94.0,20.0,2.24,TH,1594844569.0
chaman,31.74,31.74,79.41,20.0,0.0,4.41,PK,1594844569.0
chico,39.76,39.76,91.99,40.0,5.0,5.82,US,1594844116.0
villa bruzual,9.04,9.04,84.79,76.0,45.0,2.82,VE,1594844569.0
talaya,59.08,59.08,53.01,68.0,100.0,7.38,RU,1594844569.0
isangel,-23.67,-23.67,68.0,100.0,20.0,1.61,VU,1594844570.0
kushiro,40.46,40.46,54.59,84.0,100.0,5.12,JP,1594844270.0
jiaocheng,26.59,26.59,79.16,76.0,100.0,1.48,CN,1594844570.0
atambua,-8.38,-8.38,67.66,84.0,72.0,6.6,ID,1594844571.0
coahuayana,-2.79,-2.79,86.0,94.0,75.0,6.58,MX,1594844571.0
la libertad,16.96,16.96,71.46,78.0,21.0,8.5,EC,1594844399.0
hochstadt,49.87,49.87,66.0,79.0,96.0,4.9,DE,1594844571.0
stephenville,48.87,48.87,99.0,36.0,1.0,13.87,US,1594844571.0
alyangula,-16.99,-16.99,62.6,82.0,4.0,1.12,AU,1594844572.0
dandong,38.48,38.48,64.63,93.0,44.0,1.81,CN,1594844392.0
findlay,40.91,40.91,91.4,36.0,40.0,13.87,US,1594844352.0
ouallam,14.03,14.03,85.17,59.0,79.0,9.84,NE,1594844572.0
humaita,-6.57,-6.57,95.45,30.0,0.0,4.23,BR,1594844572.0
caluquembe,-14.34,-14.34,51.75,39.0,0.0,5.1,AO,1594844572.0
conceicao da barra,-19.26,-19.26,71.76,86.0,94.0,11.5,BR,1594844572.0
cayenne,17.54,17.54,80.6,74.0,0.0,8.05,GF,1594844382.0
saqqez,35.97,35.97,67.39,49.0,1.0,1.5,IR,1594844408.0
vaitape,-16.87,-16.87,78.53,84.0,9.0,17.29,PF,1594844573.0
medicine hat,50.4,50.4,73.99,49.0,75.0,8.05,CA,1594844404.0
santa isabel,28.5,28.5,60.8,87.0,90.0,5.82,BR,1594844573.0
zhangjiakou,41.55,41.55,69.26,67.0,0.0,3.67,CN,1594844573.0
qostanay,53.71,53.71,75.2,47.0,0.0,4.47,KZ,1594844573.0
vallenar,-28.51,-28.51,74.44,20.0,0.0,6.49,CL,1594844573.0
uarini,-2.3,-2.3,91.4,55.0,20.0,4.7,BR,1594844574.0
maniitsoq,61.78,61.78,46.0,71.0,99.0,16.08,GL,1594844366.0
